"filename", "language", "JSON", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\henri.haege\.vscode\Responsive Web javascript\Data\gamecatalog.json", "JSON", 183, 0, 0, 0, 0, 0, 183
"c:\Users\henri.haege\.vscode\Responsive Web javascript\Profile\Profile.html", "HTML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\henri.haege\.vscode\Responsive Web javascript\Profile\profilelogic.js", "JavaScript", 0, 11, 0, 0, 0, 2, 13
"c:\Users\henri.haege\.vscode\Responsive Web javascript\Store\store.html", "HTML", 0, 0, 25, 0, 0, 2, 27
"c:\Users\henri.haege\.vscode\Responsive Web javascript\Store\storelogic.js", "JavaScript", 0, 137, 0, 0, 5, 34, 176
"c:\Users\henri.haege\.vscode\Responsive Web javascript\Store\storestyle.css", "CSS", 0, 0, 0, 45, 0, -1, 44
"c:\Users\henri.haege\.vscode\Responsive Web javascript\backend\server.js", "JavaScript", 0, 89, 0, 0, 10, 20, 119
"c:\Users\henri.haege\.vscode\Responsive Web javascript\loginlogic.js", "JavaScript", 0, 18, 0, 0, 1, 4, 23
"c:\Users\henri.haege\.vscode\Responsive Web javascript\package-lock.json", "JSON", 70, 0, 0, 0, 0, 0, 70
"Total", "-", 253, 255, 26, 45, 16, 61, 656
