"filename", "language", "JavaScript", "CSS", "HTML", "JSON", "XML", "comment", "blank", "total"
"c:\Users\henri.haege\.vscode\Responsive Web javascript\.idea\Responsive Web javascript.iml", "XML", 0, 0, 0, 0, 12, 0, 0, 12
"c:\Users\henri.haege\.vscode\Responsive Web javascript\.idea\material_theme_project_new.xml", "XML", 0, 0, 0, 0, 13, 0, 0, 13
"c:\Users\henri.haege\.vscode\Responsive Web javascript\.idea\modules.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\henri.haege\.vscode\Responsive Web javascript\Data\data.json", "JSON", 0, 0, 0, 24, 0, 0, 0, 24
"c:\Users\henri.haege\.vscode\Responsive Web javascript\Data\gamecatalog.json", "JSON", 0, 0, 0, 183, 0, 0, 0, 183
"c:\Users\henri.haege\.vscode\Responsive Web javascript\Data\mapdata.json", "JSON", 0, 0, 0, 11, 0, 0, 3, 14
"c:\Users\henri.haege\.vscode\Responsive Web javascript\Library\library.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\henri.haege\.vscode\Responsive Web javascript\Main.html", "HTML", 0, 0, 160, 0, 0, 2, 1, 163
"c:\Users\henri.haege\.vscode\Responsive Web javascript\News\news.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\henri.haege\.vscode\Responsive Web javascript\Profile\Profile.html", "HTML", 0, 0, 66, 0, 0, 9, 7, 82
"c:\Users\henri.haege\.vscode\Responsive Web javascript\Profile\profile.css", "CSS", 0, 81, 0, 0, 0, 0, 3, 84
"c:\Users\henri.haege\.vscode\Responsive Web javascript\Profile\profilelogic.js", "JavaScript", 73, 0, 0, 0, 0, 9, 21, 103
"c:\Users\henri.haege\.vscode\Responsive Web javascript\Store\store.html", "HTML", 0, 0, 25, 0, 0, 0, 3, 28
"c:\Users\henri.haege\.vscode\Responsive Web javascript\Store\storelogic.js", "JavaScript", 137, 0, 0, 0, 0, 5, 34, 176
"c:\Users\henri.haege\.vscode\Responsive Web javascript\Store\storestyle.css", "CSS", 0, 45, 0, 0, 0, 0, 0, 45
"c:\Users\henri.haege\.vscode\Responsive Web javascript\Wishlist\wischlist.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\henri.haege\.vscode\Responsive Web javascript\backend\server.js", "JavaScript", 159, 0, 0, 0, 0, 26, 42, 227
"c:\Users\henri.haege\.vscode\Responsive Web javascript\demogame\game.css", "CSS", 0, 78, 0, 0, 0, 4, 2, 84
"c:\Users\henri.haege\.vscode\Responsive Web javascript\demogame\game.html", "HTML", 0, 0, 34, 0, 0, 7, 3, 44
"c:\Users\henri.haege\.vscode\Responsive Web javascript\demogame\gamelogic.js", "JavaScript", 109, 0, 0, 0, 0, 15, 30, 154
"c:\Users\henri.haege\.vscode\Responsive Web javascript\demogame\mapgeneration.js", "JavaScript", 109, 0, 0, 0, 0, 14, 29, 152
"c:\Users\henri.haege\.vscode\Responsive Web javascript\demogame\objectdata.js", "JavaScript", 33, 0, 0, 0, 0, 0, 4, 37
"c:\Users\henri.haege\.vscode\Responsive Web javascript\demogame\objectlogic.js", "JavaScript", 49, 0, 0, 0, 0, 2, 9, 60
"c:\Users\henri.haege\.vscode\Responsive Web javascript\logic.js", "JavaScript", 77, 0, 0, 0, 0, 10, 26, 113
"c:\Users\henri.haege\.vscode\Responsive Web javascript\login.html", "HTML", 0, 0, 298, 0, 0, 0, 2, 300
"c:\Users\henri.haege\.vscode\Responsive Web javascript\loginlogic.js", "JavaScript", 43, 0, 0, 0, 0, 1, 11, 55
"c:\Users\henri.haege\.vscode\Responsive Web javascript\loginstyles.css", "CSS", 0, 157, 0, 0, 0, 0, 4, 161
"c:\Users\henri.haege\.vscode\Responsive Web javascript\package-lock.json", "JSON", 0, 0, 0, 899, 0, 0, 1, 900
"c:\Users\henri.haege\.vscode\Responsive Web javascript\package.json", "JSON", 0, 0, 0, 16, 0, 0, 1, 17
"c:\Users\henri.haege\.vscode\Responsive Web javascript\signup.css", "CSS", 0, 180, 0, 0, 0, 0, 2, 182
"c:\Users\henri.haege\.vscode\Responsive Web javascript\signup.html", "HTML", 0, 0, 296, 0, 0, 0, 3, 299
"c:\Users\henri.haege\.vscode\Responsive Web javascript\signup.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\henri.haege\.vscode\Responsive Web javascript\style.css", "CSS", 0, 344, 0, 0, 0, 0, 9, 353
"Total", "-", 789, 885, 879, 1133, 33, 104, 254, 4077
