"filename", "language", "JSON", "CSS", "HTML", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\henri.haege\repos\shop-website\.idea\Responsive Web javascript.iml", "XML", 0, 0, 0, 0, 12, 0, 0, 12
"c:\Users\henri.haege\repos\shop-website\.idea\material_theme_project_new.xml", "XML", 0, 0, 0, 0, 13, 0, 0, 13
"c:\Users\henri.haege\repos\shop-website\.idea\modules.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\henri.haege\repos\shop-website\Data\data.json", "JSON", 134, 0, 0, 0, 0, 0, 0, 134
"c:\Users\henri.haege\repos\shop-website\Data\gamecatalog.json", "JSON", 202, 0, 0, 0, 0, 0, 0, 202
"c:\Users\henri.haege\repos\shop-website\Data\mapdata.json", "JSON", 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\henri.haege\repos\shop-website\Library\library.css", "CSS", 0, 19, 0, 0, 0, 0, 0, 19
"c:\Users\henri.haege\repos\shop-website\Library\library.html", "HTML", 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\henri.haege\repos\shop-website\Library\library.js", "JavaScript", 0, 0, 0, 39, 0, 1, 8, 48
"c:\Users\henri.haege\repos\shop-website\Main.html", "HTML", 0, 0, 153, 0, 0, 1, 1, 155
"c:\Users\henri.haege\repos\shop-website\News\news.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\henri.haege\repos\shop-website\Profile\Profile.html", "HTML", 0, 0, 95, 0, 0, 8, 11, 114
"c:\Users\henri.haege\repos\shop-website\Profile\profile.css", "CSS", 0, 175, 0, 0, 0, 0, 4, 179
"c:\Users\henri.haege\repos\shop-website\Profile\profilelogic.js", "JavaScript", 0, 0, 0, 208, 0, 7, 55, 270
"c:\Users\henri.haege\repos\shop-website\Store\store.html", "HTML", 0, 0, 23, 0, 0, 0, 4, 27
"c:\Users\henri.haege\repos\shop-website\Store\storelogic.js", "JavaScript", 0, 0, 0, 168, 0, 5, 39, 212
"c:\Users\henri.haege\repos\shop-website\Store\storestyle.css", "CSS", 0, 72, 0, 0, 0, 0, 2, 74
"c:\Users\henri.haege\repos\shop-website\Wishlist\wischlist.css", "CSS", 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\henri.haege\repos\shop-website\Wishlist\wischlist.html", "HTML", 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\henri.haege\repos\shop-website\Wishlist\wischlist.js", "JavaScript", 0, 0, 0, 39, 0, 1, 8, 48
"c:\Users\henri.haege\repos\shop-website\backend\server.js", "JavaScript", 0, 0, 0, 221, 0, 30, 62, 313
"c:\Users\henri.haege\repos\shop-website\demogame\game.css", "CSS", 0, 78, 0, 0, 0, 4, 2, 84
"c:\Users\henri.haege\repos\shop-website\demogame\game.html", "HTML", 0, 0, 34, 0, 0, 7, 3, 44
"c:\Users\henri.haege\repos\shop-website\demogame\gamelogic.js", "JavaScript", 0, 0, 0, 108, 0, 3, 27, 138
"c:\Users\henri.haege\repos\shop-website\demogame\mapgeneration.js", "JavaScript", 0, 0, 0, 148, 0, 13, 25, 186
"c:\Users\henri.haege\repos\shop-website\demogame\objectdata.js", "JavaScript", 0, 0, 0, 33, 0, 0, 4, 37
"c:\Users\henri.haege\repos\shop-website\demogame\objectlogic.js", "JavaScript", 0, 0, 0, 49, 0, 2, 9, 60
"c:\Users\henri.haege\repos\shop-website\logic.js", "JavaScript", 0, 0, 0, 67, 0, 4, 21, 92
"c:\Users\henri.haege\repos\shop-website\login.html", "HTML", 0, 0, 298, 0, 0, 0, 2, 300
"c:\Users\henri.haege\repos\shop-website\loginlogic.js", "JavaScript", 0, 0, 0, 43, 0, 1, 11, 55
"c:\Users\henri.haege\repos\shop-website\loginstyles.css", "CSS", 0, 157, 0, 0, 0, 0, 4, 161
"c:\Users\henri.haege\repos\shop-website\package-lock.json", "JSON", 899, 0, 0, 0, 0, 0, 1, 900
"c:\Users\henri.haege\repos\shop-website\package.json", "JSON", 16, 0, 0, 0, 0, 0, 1, 17
"c:\Users\henri.haege\repos\shop-website\signup.css", "CSS", 0, 180, 0, 0, 0, 0, 2, 182
"c:\Users\henri.haege\repos\shop-website\signup.html", "HTML", 0, 0, 296, 0, 0, 0, 3, 299
"c:\Users\henri.haege\repos\shop-website\signup.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\henri.haege\repos\shop-website\style.css", "CSS", 0, 359, 0, 0, 0, 0, 9, 368
"d:\programmieren\Websites\Responsive Web javascript\.idea\Responsive Web javascript.iml", "XML", 0, 0, 0, 0, -12, 0, 0, -12
"d:\programmieren\Websites\Responsive Web javascript\.idea\material_theme_project_new.xml", "XML", 0, 0, 0, 0, -13, 0, 0, -13
"d:\programmieren\Websites\Responsive Web javascript\.idea\modules.xml", "XML", 0, 0, 0, 0, -8, 0, 0, -8
"d:\programmieren\Websites\Responsive Web javascript\Data\data.json", "JSON", -32, 0, 0, 0, 0, 0, 0, -32
"d:\programmieren\Websites\Responsive Web javascript\Data\gamecatalog.json", "JSON", -202, 0, 0, 0, 0, 0, 0, -202
"d:\programmieren\Websites\Responsive Web javascript\Data\mapdata.json", "JSON", -11, 0, 0, 0, 0, 0, -3, -14
"d:\programmieren\Websites\Responsive Web javascript\Library\library.css", "CSS", 0, -12, 0, 0, 0, 0, 0, -12
"d:\programmieren\Websites\Responsive Web javascript\Library\library.html", "HTML", 0, 0, -19, 0, 0, 0, -1, -20
"d:\programmieren\Websites\Responsive Web javascript\Library\library.js", "JavaScript", 0, 0, 0, -39, 0, -1, -8, -48
"d:\programmieren\Websites\Responsive Web javascript\Main.html", "HTML", 0, 0, -153, 0, 0, -1, -1, -155
"d:\programmieren\Websites\Responsive Web javascript\News\news.html", "HTML", 0, 0, 0, 0, 0, 0, -1, -1
"d:\programmieren\Websites\Responsive Web javascript\Profile\Profile.html", "HTML", 0, 0, -95, 0, 0, -9, -10, -114
"d:\programmieren\Websites\Responsive Web javascript\Profile\profile.css", "CSS", 0, -136, 0, 0, 0, 0, -3, -139
"d:\programmieren\Websites\Responsive Web javascript\Profile\profilelogic.js", "JavaScript", 0, 0, 0, -142, 0, -7, -38, -187
"d:\programmieren\Websites\Responsive Web javascript\Store\store.html", "HTML", 0, 0, -25, 0, 0, 0, -3, -28
"d:\programmieren\Websites\Responsive Web javascript\Store\storelogic.js", "JavaScript", 0, 0, 0, -168, 0, -5, -39, -212
"d:\programmieren\Websites\Responsive Web javascript\Store\storestyle.css", "CSS", 0, -70, 0, 0, 0, 0, -2, -72
"d:\programmieren\Websites\Responsive Web javascript\Wishlist\wischlist.css", "CSS", 0, -12, 0, 0, 0, 0, 0, -12
"d:\programmieren\Websites\Responsive Web javascript\Wishlist\wischlist.html", "HTML", 0, 0, -19, 0, 0, 0, -1, -20
"d:\programmieren\Websites\Responsive Web javascript\Wishlist\wischlist.js", "JavaScript", 0, 0, 0, -39, 0, -1, -8, -48
"d:\programmieren\Websites\Responsive Web javascript\backend\server.js", "JavaScript", 0, 0, 0, -170, 0, -29, -46, -245
"d:\programmieren\Websites\Responsive Web javascript\demogame\game.css", "CSS", 0, -78, 0, 0, 0, -4, -2, -84
"d:\programmieren\Websites\Responsive Web javascript\demogame\game.html", "HTML", 0, 0, -34, 0, 0, -7, -3, -44
"d:\programmieren\Websites\Responsive Web javascript\demogame\gamelogic.js", "JavaScript", 0, 0, 0, -109, 0, -15, -30, -154
"d:\programmieren\Websites\Responsive Web javascript\demogame\mapgeneration.js", "JavaScript", 0, 0, 0, -109, 0, -14, -29, -152
"d:\programmieren\Websites\Responsive Web javascript\demogame\objectdata.js", "JavaScript", 0, 0, 0, -33, 0, 0, -4, -37
"d:\programmieren\Websites\Responsive Web javascript\demogame\objectlogic.js", "JavaScript", 0, 0, 0, -49, 0, -2, -9, -60
"d:\programmieren\Websites\Responsive Web javascript\logic.js", "JavaScript", 0, 0, 0, -67, 0, -4, -21, -92
"d:\programmieren\Websites\Responsive Web javascript\login.html", "HTML", 0, 0, -298, 0, 0, 0, -2, -300
"d:\programmieren\Websites\Responsive Web javascript\loginlogic.js", "JavaScript", 0, 0, 0, -43, 0, -1, -11, -55
"d:\programmieren\Websites\Responsive Web javascript\loginstyles.css", "CSS", 0, -157, 0, 0, 0, 0, -4, -161
"d:\programmieren\Websites\Responsive Web javascript\package-lock.json", "JSON", -899, 0, 0, 0, 0, 0, -1, -900
"d:\programmieren\Websites\Responsive Web javascript\package.json", "JSON", -16, 0, 0, 0, 0, 0, -1, -17
"d:\programmieren\Websites\Responsive Web javascript\signup.css", "CSS", 0, -180, 0, 0, 0, 0, -2, -182
"d:\programmieren\Websites\Responsive Web javascript\signup.html", "HTML", 0, 0, -296, 0, 0, 0, -3, -299
"d:\programmieren\Websites\Responsive Web javascript\signup.js", "JavaScript", 0, 0, 0, 0, 0, 0, -1, -1
"d:\programmieren\Websites\Responsive Web javascript\style.css", "CSS", 0, -359, 0, 0, 0, 0, -9, -368
"Total", "-", 102, 48, -2, 155, 0, -13, 29, 319
